geo_id,geo_id2,block_group,tract,county,block_tract,total_pop,total_inc,inc_less_10k,inc_10k_14999,inc_15k_19999,inc_20k_24999,inc_25k_29999,inc_30k_34999,inc_35k_39999,inc_40k_44999,inc_45k_49999,inc_50k_59999,inc_60k_74999,inc_75k_99999,inc_100k_124999,inc_125k_149999,inc_150k_199999,inc_200k_more,total_labor,total_in_laborforce,total_notin_laborforce,total_civil_labor,emp_civil_labor,unemp_civil_labor,total_armedforces,total_vacdata,total_occ_homes,total_vac_homes,total_ordata,total_owner,total_renter
1500000US130950011001,130950011001,1,1100,Dougherty County,1_1100,1499,465,111,155,13,46,17,78,0,0,13,0,0,32,0,0,0,0,987,526,461,526,453,73,0,559,465,94,1495,41,1454
1500000US130950011002,130950011002,2,1100,Dougherty County,2_1100,769,325,37,12,35,13,61,20,6,34,43,14,38,12,0,0,0,0,674,340,334,340,269,71,0,468,325,143,769,622,147
1500000US130950011003,130950011003,3,1100,Dougherty County,3_1100,506,241,0,89,0,53,55,12,0,0,0,0,8,14,10,0,0,0,490,221,269,221,150,71,0,303,241,62,498,382,116
1500000US130950011004,130950011004,4,1100,Dougherty County,4_1100,1097,558,128,22,105,0,34,20,17,54,16,26,36,89,11,0,0,0,812,543,269,543,448,95,0,629,558,71,1097,527,570
1500000US130950011005,130950011005,5,1100,Dougherty County,5_1100,2034,734,55,147,86,113,100,0,25,42,0,27,58,27,31,13,10,0,1509,732,777,732,616,116,0,734,734,0,2026,1008,1018
1500000US130950014031,130950014031,1,1403,Dougherty County,1_1403,998,472,103,103,0,98,9,16,21,27,61,23,7,0,4,0,0,0,772,401,371,401,401,0,0,671,472,199,998,211,787
1500000US130950014032,130950014032,2,1403,Dougherty County,2_1403,1346,515,70,118,51,51,36,82,16,0,0,18,34,36,0,0,3,0,1157,490,667,490,370,120,0,555,515,40,1346,335,1011
1500000US130950015001,130950015001,1,1500,Dougherty County,1_1500,653,339,97,12,8,48,31,34,13,0,0,30,44,0,22,0,0,0,577,298,279,298,245,53,0,496,339,157,635,219,416
1500000US130950015002,130950015002,2,1500,Dougherty County,2_1500,869,352,116,39,35,41,23,0,0,4,25,7,34,5,23,0,0,0,726,406,320,406,309,97,0,517,352,165,869,422,447
1500000US130950015003,130950015003,3,1500,Dougherty County,3_1500,705,307,91,51,113,9,5,0,13,6,0,0,0,0,0,0,19,0,404,205,199,205,193,12,0,438,307,131,705,149,556
1500000US130950103021,130950103021,1,10302,Dougherty County,1_10302,998,365,84,90,5,47,9,36,18,19,35,16,6,0,0,0,0,0,843,355,488,355,282,73,0,482,365,117,998,465,533
1500000US130950103022,130950103022,2,10302,Dougherty County,2_10302,1574,468,100,79,29,70,29,52,8,23,17,0,47,8,6,0,0,0,878,402,476,402,289,113,0,488,468,20,1574,172,1402
1500000US130950103023,130950103023,3,10302,Dougherty County,3_10302,1462,187,34,7,8,17,18,14,9,15,21,7,21,13,0,0,0,3,1421,200,1221,200,161,39,0,226,187,39,394,281,113
1500000US130950103024,130950103024,4,10302,Dougherty County,4_10302,837,234,42,6,25,56,10,9,28,0,11,21,8,9,4,0,5,0,562,358,204,358,256,102,0,270,234,36,837,337,500
1500000US130950103025,130950103025,5,10302,Dougherty County,5_10302,1760,587,146,76,59,37,6,27,43,18,0,51,51,44,29,0,0,0,1317,844,473,844,675,169,0,633,587,46,1760,219,1541
